instance_type,region-az,unit_price,quantidade_total_de_instancias,preco_total,status
m5.24xlarge,us-east-1-f,0.4994,2,0.9988,InsufficientInstanceCapacity
m7i.24xlarge,us-east-1-d,0.5984,1,0.5984,InsufficientInstanceCapacity
r6i.24xlarge,us-east-1-c,0.6063,1,0.6063,InsufficientInstanceCapacity
r6a.24xlarge,us-east-1-b,0.6104,1,0.6104,InsufficientInstanceCapacity
r5.24xlarge,us-east-1-c,0.6264,1,0.6264,InsufficientInstanceCapacity
r7i.24xlarge,us-east-1-d,0.692,1,0.692,InsufficientInstanceCapacity
m6a.24xlarge,us-east-1-f,0.7117,1,0.7117,InsufficientInstanceCapacity
r7a.24xlarge,us-east-1-c,0.7303,1,0.7303,InsufficientInstanceCapacity
r6a.24xlarge,us-east-1-a,0.7409,1,0.7409,InsufficientInstanceCapacity
c6i.32xlarge,us-east-1-f,0.7585,2,1.517,InsufficientInstanceCapacity
m6i.24xlarge,us-east-1-c,0.834,1,0.834,InsufficientInstanceCapacity
m6a.24xlarge,us-east-1-c,0.8544,1,0.8544,InsufficientInstanceCapacity
r5n.24xlarge,us-east-1-d,0.9081,1,0.9081,InsufficientInstanceCapacity
m5a.24xlarge,us-east-1-b,0.9141,1,0.9141,InsufficientInstanceCapacity
m5.24xlarge,us-east-1-d,0.9308,1,0.9308,InsufficientInstanceCapacity
m6i.24xlarge,us-east-1-a,0.9386,1,0.9386,InsufficientInstanceCapacity
c5d.24xlarge,us-east-1-d,0.9399,2,1.8798,InsufficientInstanceCapacity
r6a.24xlarge,us-east-1-c,0.9461,1,0.9461,InsufficientInstanceCapacity
c5d.24xlarge,us-east-1-b,0.9506,2,1.9012,InsufficientInstanceCapacity
c6i.32xlarge,us-east-1-a,0.9601,1,0.9601,InsufficientInstanceCapacity
m7i.24xlarge,us-east-1-f,0.9642,1,0.9642,InsufficientInstanceCapacity
m6i.24xlarge,us-east-1-f,0.9776,1,0.9776,InsufficientInstanceCapacity
m6i.24xlarge,us-east-1-d,0.9782,1,0.9782,InsufficientInstanceCapacity
m5.24xlarge,us-east-1-b,0.9846,1,0.9846,InsufficientInstanceCapacity
c5ad.24xlarge,us-east-1-f,0.9961,1,0.9961,InsufficientInstanceCapacity
m6a.24xlarge,us-east-1-b,1.0122,1,1.0122,InsufficientInstanceCapacity
r6in.24xlarge,us-east-1-b,1.0295,1,1.0295,InsufficientInstanceCapacity
c6i.32xlarge,us-east-1-b,1.0317,1,1.0317,InsufficientInstanceCapacity
m5.24xlarge,us-east-1-c,1.0498,1,1.0498,InsufficientInstanceCapacity
m6a.24xlarge,us-east-1-d,1.0499,1,1.0499,InsufficientInstanceCapacity
m5a.24xlarge,us-east-1-c,1.0535,1,1.0535,InsufficientInstanceCapacity
c6i.32xlarge,us-east-1-f,0.7585,2,1.517,REVOCATION
c5d.24xlarge,us-east-1-d,0.9399,36,33.8364,REVOCATION
c5d.24xlarge,us-east-1-b,0.9506,41,38.9746,REVOCATION
c6a.24xlarge,us-east-1-f,1.0709,21,22.4889,REVOCATION
