Start_Time,End_Time,Instance,InstanceID,Price,Market,Region,Zone,Algorithm_Name,Allocation_Strategy,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_Total,Mops_per_Thread,Status
2025-05-12 10:17:26.415537,2025-05-12 10:17:43.105626,m6a.24xlarge,,0.8233,spot,sa-east-1,b,bt.A.x,lowest-price,A,0.99,48.0,48.0,170203.23,3545.9,SUCCESS
2025-05-12 10:17:26.426508,2025-05-12 10:18:10.985517,m6a.24xlarge,,0.8233,spot,sa-east-1,b,bt.A.x,lowest-price,A,0.92,48.0,48.0,183587.71,3824.74,SUCCESS
2025-05-12 10:24:22.247249,2025-05-12 10:24:27.984188,m6a.24xlarge,,0.8233,spot,sa-east-1,sa-east-1b,,lowest-price,,,,,,,InsufficientInstanceCapacity
2025-05-12 10:24:22.247249,2025-05-12 10:24:31.801947,c5ad.24xlarge,,0.8974,spot,sa-east-1,sa-east-1b,,lowest-price,,,,,,,InsufficientInstanceCapacity
2025-05-12 10:24:39.009579,2025-05-12 10:24:39.478062,m6a.24xlarge,,0.8233,spot,sa-east-1,sa-east-1b,,lowest-price,,,,,,,InsufficientInstanceCapacity
2025-05-12 10:24:39.009579,2025-05-12 10:24:39.924493,c5ad.24xlarge,,0.8974,spot,sa-east-1,sa-east-1b,,lowest-price,,,,,,,InsufficientInstanceCapacity
2025-05-12 10:24:59.576267,2025-05-12 10:25:00.008278,m6a.24xlarge,,0.8233,spot,sa-east-1,sa-east-1b,,lowest-price,,,,,,,InsufficientInstanceCapacity
2025-05-12 10:24:59.576267,2025-05-12 10:25:00.749074,c5ad.24xlarge,,0.8974,spot,sa-east-1,sa-east-1b,,lowest-price,,,,,,,InsufficientInstanceCapacity
2025-05-12 10:25:20.179143,2025-05-12 10:25:20.670554,m6a.24xlarge,,0.8233,spot,sa-east-1,sa-east-1b,,lowest-price,,,,,,,InsufficientInstanceCapacity
2025-05-12 10:25:20.179143,2025-05-12 10:25:21.623449,c5ad.24xlarge,,0.8974,spot,sa-east-1,sa-east-1b,,lowest-price,,,,,,,InsufficientInstanceCapacity
2025-05-12 10:25:37.557180,2025-05-12 10:25:59.876249,m6a.24xlarge,,0.8233,spot,sa-east-1,b,bt.A.x,lowest-price,A,0.91,48.0,48.0,184532.88,3844.44,SUCCESS
2025-05-12 10:25:37.526181,2025-05-12 10:26:16.565835,m6a.24xlarge,,0.8233,spot,sa-east-1,b,bt.A.x,lowest-price,A,0.95,48.0,48.0,176280.22,3672.5,SUCCESS
2025-05-12 10:25:37.535879,2025-05-12 10:26:34.483543,m6a.24xlarge,,0.8233,spot,sa-east-1,b,bt.A.x,lowest-price,A,0.92,48.0,48.0,183661.23,3826.28,SUCCESS
