Start_Time,End_Time,Instance,InstanceID,Price,Market,Region,Zone,Algorithm_Name,Allocation_Strategy,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_Total,Mops_per_Thread,Status
2025-05-12 10:22:45.711233,2025-05-12 10:24:27.682099,m6a.24xlarge,,0.8233,spot,sa-east-1,b,bt.A.x,lowest-price,,,,,,,InsufficientInstanceCapacity
2025-05-12 10:22:45.711233,2025-05-12 10:24:35.383268,c5ad.24xlarge,,0.8974,spot,sa-east-1,b,bt.A.x,lowest-price,,,,,,,InsufficientInstanceCapacity
2025-05-12 10:22:45.711233,2025-05-12 10:24:37.454260,m6a.24xlarge,,1.0583,spot,us-east-1,f,bt.A.x,lowest-price,,,,,,,InsufficientInstanceCapacity
2025-05-12 10:27:35.529620,2025-05-12 10:27:56.361244,m6a.24xlarge,,0.8233,spot,sa-east-1,b,bt.A.x,lowest-price,A,0.95,48.0,48.0,178059.81,3709.58,SUCCESS
2025-05-12 10:27:35.550308,2025-05-12 10:28:16.295966,c5.24xlarge,,1.0674,spot,us-east-1,b,bt.A.x,lowest-price,A,0.95,48.0,48.0,177965.38,3707.61,SUCCESS
2025-05-12 10:27:35.581421,2025-05-12 10:28:32.145963,c5.24xlarge,,1.0674,spot,us-east-1,b,bt.A.x,lowest-price,A,0.95,48.0,48.0,177546.58,3698.89,SUCCESS
2025-05-12 10:27:35.597473,2025-05-12 10:28:47.965084,c5.24xlarge,,1.0674,spot,us-east-1,b,bt.A.x,lowest-price,A,0.94,48.0,48.0,178956.82,3728.27,SUCCESS
2025-05-12 10:27:35.559795,2025-05-12 10:29:04.058792,c5.24xlarge,,1.0674,spot,us-east-1,b,bt.A.x,lowest-price,A,0.96,48.0,48.0,175510.91,3656.48,SUCCESS
2025-05-12 10:27:35.591579,2025-05-12 10:29:20.015381,c5.24xlarge,,1.0674,spot,us-east-1,b,bt.A.x,lowest-price,A,0.99,48.0,48.0,169463.54,3530.49,SUCCESS
2025-05-12 10:27:35.605082,2025-05-12 10:29:37.331197,c5.24xlarge,,1.0674,spot,us-east-1,b,bt.A.x,lowest-price,A,1.0,48.0,48.0,167744.41,3494.68,SUCCESS
2025-05-12 10:27:35.539248,2025-05-12 10:29:53.416957,c5.24xlarge,,1.0674,spot,us-east-1,b,bt.A.x,lowest-price,A,0.97,48.0,48.0,173948.24,3623.92,SUCCESS
2025-05-12 10:27:35.570933,2025-05-12 10:30:09.780953,c5.24xlarge,,1.0674,spot,us-east-1,b,bt.A.x,lowest-price,A,0.92,48.0,48.0,182538.46,3802.88,SUCCESS
2025-05-12 10:27:35.628682,2025-05-12 10:30:26.439269,c5.24xlarge,,1.0674,spot,us-east-1,b,bt.A.x,lowest-price,A,0.95,48.0,48.0,177265.88,3693.04,SUCCESS
