Start_Time,End_Time,Instance,InstanceID,Price,Market,Region,Zone,Algorithm_Name,Allocation_Strategy,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_Total,Mops_per_Thread,Status
2025-06-25 22:53:44.673248,2025-06-25 22:55:02.387985,m5.24xlarge,,0.5705,spot,us-east-1,f,bt.A.x,lowest-price,,,,,,,InsufficientInstanceCapacity
2025-06-25 22:53:44.673248,2025-06-25 22:57:26.727169,c5.24xlarge,,0.5929,spot,us-east-1,b,bt.A.x,lowest-price,,,,,,,InsufficientFreeAddressesInSubnet
2025-06-25 22:53:44.673248,2025-06-25 22:57:28.604129,c5.24xlarge,,0.5929,spot,us-east-1,b,bt.A.x,lowest-price,,,,,,,InsufficientFreeAddressesInSubnet
2025-06-25 22:53:44.673248,2025-06-25 22:57:30.621419,r5.24xlarge,,0.6048,spot,us-east-1,c,bt.A.x,lowest-price,,,,,,,InsufficientInstanceCapacity
2025-06-25 22:53:44.673248,2025-06-25 22:57:32.779961,m7i.24xlarge,,0.7261,spot,us-east-1,d,bt.A.x,lowest-price,,,,,,,InsufficientInstanceCapacity
2025-06-25 22:53:44.673248,2025-06-25 22:57:34.647553,r7a.24xlarge,,0.7303,spot,us-east-1,c,bt.A.x,lowest-price,,,,,,,InsufficientInstanceCapacity
2025-06-25 22:53:44.673248,2025-06-25 22:57:36.353214,r6a.24xlarge,,0.7676,spot,us-east-1,b,bt.A.x,lowest-price,,,,,,,InsufficientFreeAddressesInSubnet
2025-06-25 22:53:44.673248,2025-06-25 22:57:38.328774,m6a.24xlarge,,0.7758,spot,us-east-1,f,bt.A.x,lowest-price,,,,,,,InsufficientInstanceCapacity
2025-06-25 22:58:20.892378,2025-06-25 22:58:20.892381,c5.24xlarge,,0.5929,spot,us-east-1,b,bt.A.x,lowest-price,,,,,,,REVOCATION
2025-06-25 22:58:20.896654,2025-06-25 22:58:20.896657,c5.24xlarge,,0.5929,spot,us-east-1,b,bt.A.x,lowest-price,,,,,,,REVOCATION
2025-06-25 22:58:20.896860,2025-06-25 22:58:20.896862,c5.24xlarge,,0.5929,spot,us-east-1,b,bt.A.x,lowest-price,,,,,,,REVOCATION
2025-06-25 22:58:20.898479,2025-06-25 22:58:20.898482,c5.24xlarge,,0.5929,spot,us-east-1,b,bt.A.x,lowest-price,,,,,,,REVOCATION
2025-06-25 22:58:20.898675,2025-06-25 22:58:20.898678,c5.24xlarge,,0.5929,spot,us-east-1,b,bt.A.x,lowest-price,,,,,,,REVOCATION
2025-06-25 22:58:20.899188,2025-06-25 22:58:20.899189,c5.24xlarge,,0.5929,spot,us-east-1,b,bt.A.x,lowest-price,,,,,,,REVOCATION
2025-06-25 22:58:20.902690,2025-06-25 22:58:20.902693,c5.24xlarge,,0.5929,spot,us-east-1,b,bt.A.x,lowest-price,,,,,,,REVOCATION
2025-06-25 22:58:20.902785,2025-06-25 22:58:20.902787,c5.24xlarge,,0.5929,spot,us-east-1,b,bt.A.x,lowest-price,,,,,,,REVOCATION
2025-06-25 22:58:20.902974,2025-06-25 22:58:20.902977,c5.24xlarge,,0.5929,spot,us-east-1,b,bt.A.x,lowest-price,,,,,,,REVOCATION
2025-06-25 22:58:20.903163,2025-06-25 22:58:20.903165,c5.24xlarge,,0.5929,spot,us-east-1,b,bt.A.x,lowest-price,,,,,,,REVOCATION
2025-06-25 22:58:20.904367,2025-06-25 22:58:20.904370,c5.24xlarge,,0.5929,spot,us-east-1,b,bt.A.x,lowest-price,,,,,,,REVOCATION
