Start_Time,End_Time,Instance,InstanceID,Price,Market,Region,Zone,Algorithm_Name,Allocation_Strategy,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_Total,Mops_per_Thread,Status
2025-05-06 13:16:12.324024,2025-05-06 13:17:29.652579,['c5ad.24xlarge'],,"{'sa-east-1a': 2.1612, 'sa-east-1b': 0.7724}",spot,sa-east-1,,NAS Benchmark,,,,,,,,InvalidFleetConfiguration
2025-05-06 13:16:12.324024,2025-05-06 13:17:29.660433,['c5ad.24xlarge'],,"{'sa-east-1a': 2.1612, 'sa-east-1b': 0.7724}",spot,sa-east-1,,NAS Benchmark,,,,,,,,InsufficientInstanceCapacity
2025-05-06 13:16:12.324024,2025-05-06 13:17:29.665770,['c5ad.24xlarge'],,"{'sa-east-1a': 2.1612, 'sa-east-1b': 0.7724}",spot,sa-east-1,,NAS Benchmark,,,,,,,,InsufficientInstanceCapacity
2025-05-06 13:16:12.324024,2025-05-06 13:17:51.217909,['m6a.24xlarge'],,"{'sa-east-1a': 1.6229, 'sa-east-1b': 0.9779, 'sa-east-1c': 1.8627}",spot,sa-east-1,,NAS Benchmark,,,,,,,,InsufficientInstanceCapacity
2025-05-06 13:17:51.246293,2025-05-06 13:19:00.315581,m6a.24xlarge,,"{'sa-east-1a': 1.6229, 'sa-east-1b': 0.9779, 'sa-east-1c': 1.8627}",spot,sa-east-1,a,NAS Benchmark,,A,0.95,48.0,48.0,176332.05,3673.58,SUCCESS
2025-05-06 13:17:51.235532,2025-05-06 13:19:16.067797,m6a.24xlarge,,"{'sa-east-1a': 1.6229, 'sa-east-1b': 0.9779, 'sa-east-1c': 1.8627}",spot,sa-east-1,a,NAS Benchmark,,A,0.91,48.0,48.0,184400.78,3841.68,SUCCESS
2025-05-06 13:17:51.256373,2025-05-06 13:19:31.796999,m6a.24xlarge,,"{'sa-east-1a': 1.6229, 'sa-east-1b': 0.9779, 'sa-east-1c': 1.8627}",spot,sa-east-1,b,NAS Benchmark,,A,0.93,48.0,48.0,181263.62,3776.33,SUCCESS
2025-05-06 13:17:51.266100,2025-05-06 13:20:08.606378,m6a.24xlarge,,"{'sa-east-1a': 1.6229, 'sa-east-1b': 0.9779, 'sa-east-1c': 1.8627}",spot,sa-east-1,b,NAS Benchmark,,A,0.92,48.0,48.0,182672.12,3805.67,SUCCESS
2025-05-06 13:17:51.225552,2025-05-06 13:20:29.740516,m6a.24xlarge,,"{'sa-east-1a': 1.6229, 'sa-east-1b': 0.9779, 'sa-east-1c': 1.8627}",spot,sa-east-1,a,NAS Benchmark,,A,0.91,48.0,48.0,185249.8,3859.37,SUCCESS
2025-05-06 13:23:34.634580,2025-05-06 13:23:54.185457,m5a.24xlarge,i-004ef7eeee3525205,,spot,sa-east-1,a,bt.A.x,lowest-price,A,1.71,48.0,48.0,98384.63,2049.68,SUCCESS
2025-05-06 13:23:44.642737,2025-05-06 13:24:03.920177,m5a.24xlarge,i-0331f20867afb6854,,spot,sa-east-1,a,bt.A.x,lowest-price,A,1.77,48.0,48.0,95030.92,1979.81,SUCCESS
2025-05-06 13:23:54.653029,2025-05-06 13:24:14.588865,m5a.24xlarge,i-0cdc5d78aea327d20,,spot,sa-east-1,a,bt.A.x,lowest-price,A,1.75,48.0,48.0,96389.11,2008.11,SUCCESS
2025-05-06 13:24:04.663394,2025-05-06 13:24:25.592154,m5a.24xlarge,i-0e2e11cc438fddea5,,spot,sa-east-1,a,bt.A.x,lowest-price,A,2.79,48.0,48.0,60330.87,1256.89,SUCCESS
2025-05-06 13:24:14.666108,2025-05-06 13:24:34.072233,m6a.24xlarge,i-0e063d79507e5d833,,spot,sa-east-1,b,bt.A.x,lowest-price,A,0.83,48.0,48.0,202068.19,4209.75,SUCCESS
2025-05-06 15:10:18.477481,2025-05-06 15:11:03.910614,m6a.24xlarge,,0.977900,spot,sa-east-1,b,bt.A.x,lowest-price,A,0.92,48.0,48.0,183601.74,3825.04,SUCCESS
2025-05-06 15:20:40.708540,2025-05-06 15:21:59.617751,['c5ad.24xlarge'],,"{'sa-east-1a': 2.1612, 'sa-east-1b': 0.7606}",spot,sa-east-1,,bt.A.x,lowest-price,,,,,,,InvalidFleetConfiguration
2025-05-06 15:20:40.708540,2025-05-06 15:21:59.628877,['c5ad.24xlarge'],,"{'sa-east-1a': 2.1612, 'sa-east-1b': 0.7606}",spot,sa-east-1,,bt.A.x,lowest-price,,,,,,,InsufficientInstanceCapacity
2025-05-06 15:20:40.708540,2025-05-06 15:21:59.634506,['c5ad.24xlarge'],,"{'sa-east-1a': 2.1612, 'sa-east-1b': 0.7606}",spot,sa-east-1,,bt.A.x,lowest-price,,,,,,,InsufficientInstanceCapacity
2025-05-06 15:20:40.708540,2025-05-06 15:22:21.332217,['m6a.24xlarge'],,"{'sa-east-1a': 1.6229, 'sa-east-1b': 0.9779, 'sa-east-1c': 1.8627}",spot,sa-east-1,,bt.A.x,lowest-price,,,,,,,InsufficientInstanceCapacity
2025-05-06 15:22:21.349196,2025-05-06 15:24:40.567711,m6a.24xlarge,,"{'sa-east-1a': 1.6229, 'sa-east-1b': 0.9779, 'sa-east-1c': 1.8627}",spot,sa-east-1,a,NAS Benchmark,lowest-price,A,0.91,48,48,184385.47,3841.36,SUCCESS
2025-05-06 15:22:21.359836,2025-05-06 15:24:40.793728,m6a.24xlarge,,"{'sa-east-1a': 1.6229, 'sa-east-1b': 0.9779, 'sa-east-1c': 1.8627}",spot,sa-east-1,a,NAS Benchmark,lowest-price,A,0.91,48,48,184839.89,3850.83,SUCCESS
2025-05-06 15:22:21.381167,2025-05-06 15:26:36.556543,m6a.24xlarge,,"{'sa-east-1a': 1.6229, 'sa-east-1b': 0.9779, 'sa-east-1c': 1.8627}",spot,sa-east-1,b,NAS Benchmark,lowest-price,A,0.95,48,48,177936.94,3707.02,SUCCESS
2025-05-06 15:22:21.339305,2025-05-06 15:26:58.843086,m6a.24xlarge,,"{'sa-east-1a': 1.6229, 'sa-east-1b': 0.9779, 'sa-east-1c': 1.8627}",spot,sa-east-1,a,NAS Benchmark,lowest-price,A,0.93,48,48,181586.40,3783.05,SUCCESS
2025-05-06 15:22:21.369694,2025-05-06 15:27:04.627597,m6a.24xlarge,,"{'sa-east-1a': 1.6229, 'sa-east-1b': 0.9779, 'sa-east-1c': 1.8627}",spot,sa-east-1,b,NAS Benchmark,lowest-price,A,0.94,48,48,178890.85,3726.89,SUCCESS
