Start_Time,End_Time,Instance,InstanceID,Price,Market,Region,Zone,Algorithm_Name,Allocation_Strategy,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_Total,Mops_per_Thread,Status
2025-04-22 12:24:21.200431,m5a.24xlarge,i-0af1fa732399c514e,,,spot,sa-east-1,a,bt.C.x,lowest-price,,,,,,,SUCCESS
2025-04-22 12:24:26.430323,m5a.24xlarge,i-0d07e61ff747f23e9,,,spot,sa-east-1,a,bt.C.x,lowest-price,,,,,,,SUCCESS
2025-04-22 12:24:37.785867,m6a.24xlarge,i-0bab09c30cd056b0f,,,spot,sa-east-1,a,bt.C.x,lowest-price,,,,,,,SUCCESS
2025-04-22 12:25:01.901882,c5a.24xlarge,i-023039521c009dc75,,,spot,sa-east-1,b,bt.C.x,lowest-price,,,,,,,SUCCESS
2025-04-22 12:25:02.384677,m5a.24xlarge,i-0548b222d18b9bcbc,,,spot,sa-east-1,a,bt.C.x,lowest-price,C,33.59,48.0,48.0,85338.62,1777.89,SUCCESS
2025-04-22 12:25:04.563799,m6a.24xlarge,i-01b2a764d4c5bce64,,,spot,sa-east-1,c,bt.C.x,lowest-price,C,16.72,48.0,48.0,171461.92,3572.12,SUCCESS
2025-04-22 12:25:11.473505,m6a.24xlarge,i-06f96593af734cf8a,,,spot,sa-east-1,c,bt.C.x,lowest-price,C,17.28,48.0,48.0,165904.42,3456.34,SUCCESS
2025-04-22 12:25:16.549882,m6a.24xlarge,i-08a30935230bbbb61,,,spot,sa-east-1,c,bt.C.x,lowest-price,C,17.2,48.0,48.0,166682.54,3472.55,SUCCESS
2025-04-22 12:25:21.243838,m6a.24xlarge,i-09d99d13f43b5648d,,,spot,sa-east-1,c,bt.C.x,lowest-price,C,17.15,48.0,48.0,167172.62,3482.76,SUCCESS
2025-04-22 12:25:29.027229,c5a.24xlarge,i-04ab3710618303c73,,,spot,sa-east-1,b,bt.C.x,lowest-price,C,19.8,48.0,48.0,144726.13,3015.13,SUCCESS
2025-04-22 12:45:37.007378,m6a.24xlarge,i-070d437b3bbde9dcd,,,spot,sa-east-1,c,bt.C.x,lowest-price,,,,,,,SUCCESS
2025-04-22 12:45:56.608078,m5a.24xlarge,i-057761500cc5213b2,,,spot,sa-east-1,a,bt.C.x,lowest-price,,,,,,,SUCCESS
2025-04-22 12:46:01.324138,m5a.24xlarge,i-0c13dad888a1de9dc,,,spot,sa-east-1,a,bt.C.x,lowest-price,,,,,,,SUCCESS
2025-04-22 12:46:07.213746,m5a.24xlarge,i-05cb091a644556b80,,,spot,sa-east-1,a,bt.C.x,lowest-price,,,,,,,SUCCESS
2025-04-22 12:46:11.676303,m5a.24xlarge,i-0a6f98beebce93338,,,spot,sa-east-1,a,bt.C.x,lowest-price,,,,,,,SUCCESS
2025-04-22 12:46:16.781146,m5a.24xlarge,i-0b75bf8afaefc0e3d,,,spot,sa-east-1,a,bt.C.x,lowest-price,,,,,,,SUCCESS
2025-04-22 12:46:21.020188,m6a.24xlarge,i-0c902e68ce11cfaf5,,,spot,sa-east-1,c,bt.C.x,lowest-price,C,17.06,48.0,48.0,167997.24,3499.94,SUCCESS
2025-04-22 12:46:57.841422,c5a.24xlarge,i-0ef4251686469ade3,,,spot,sa-east-1,b,bt.C.x,lowest-price,C,19.91,48.0,48.0,143955.49,2999.07,SUCCESS
2025-04-22 12:47:01.044063,m5a.24xlarge,i-021b0c8fe2f32e460,,,spot,sa-east-1,a,bt.C.x,lowest-price,C,26.96,48.0,48.0,106330.89,2215.23,SUCCESS
2025-04-22 12:47:04.016329,c5a.24xlarge,i-0a98b9ee342f2aa92,,,spot,sa-east-1,b,bt.C.x,lowest-price,C,21.62,48.0,48.0,132599.07,2762.48,SUCCESS
