Start_Time,End_Time,Instance,InstanceID,Price,Market,Region,Zone,Algorithm_Name,Allocation_Strategy,Class,Time_in_Seconds,Total_Threads,Available_Threads,Mops_Total,Mops_per_Thread,Status
2025-04-22 12:51:44.760413,2025-04-22 12:51:46.268312,m6a.24xlarge,i-04a8b133fb9703404,,spot,sa-east-1,c,bt.C.x,price-capacity-optimized,,,,,,,SUCCESS
2025-04-22 12:51:49.765717,2025-04-22 12:52:05.255396,c7i.48xlarge,i-07118d716e06443ee,,spot,sa-east-1,c,bt.C.x,price-capacity-optimized,,,,,,,SUCCESS
2025-04-22 12:51:59.776301,2025-04-22 12:52:10.131196,c7i.48xlarge,i-09cc091ee20a648b0,,spot,sa-east-1,c,bt.C.x,price-capacity-optimized,,,,,,,SUCCESS
2025-04-22 12:52:04.780830,2025-04-22 12:52:14.641816,c7i.48xlarge,i-0bbc2b7f439597fbf,,spot,sa-east-1,c,bt.C.x,price-capacity-optimized,,,,,,,SUCCESS
2025-04-22 12:52:14.791255,2025-04-22 12:52:25.555666,c7i.48xlarge,i-016160c2cdff8532d,,spot,sa-east-1,c,bt.C.x,price-capacity-optimized,,,,,,,SUCCESS
2025-04-22 12:51:54.770993,2025-04-22 12:52:25.997651,c7i.48xlarge,i-030d3275477ced9a2,,spot,sa-east-1,c,bt.C.x,price-capacity-optimized,C,9.32,96,96,307420.74,3202.30,SUCCESS
2025-04-22 12:52:24.801040,2025-04-22 12:52:34.728085,c7i.48xlarge,i-071d2b8c08b8be8f9,,spot,sa-east-1,c,bt.C.x,price-capacity-optimized,,,,,,,SUCCESS
2025-04-22 12:52:09.786062,2025-04-22 12:52:38.868077,c7i.48xlarge,i-0463eb1b617e242d6,,spot,sa-east-1,c,bt.C.x,price-capacity-optimized,C,9.40,96,96,304775.28,3174.74,SUCCESS
2025-04-22 12:52:19.795799,2025-04-22 12:52:49.111375,c7i.48xlarge,i-0386a4c1c6043661e,,spot,sa-east-1,c,bt.C.x,price-capacity-optimized,C,9.35,96,96,306497.72,3192.68,SUCCESS
2025-04-22 12:52:29.806265,2025-04-22 12:53:00.180124,c7i.48xlarge,i-0bb9fe15847848d8a,,spot,sa-east-1,c,bt.C.x,price-capacity-optimized,C,9.42,96,96,304114.97,3167.86,SUCCESS
